event;runtime_s;obj;bound;gap_pct;node_count
incumbent;0,002;2040;;;
incumbent;0,009;3448;3538;2.610.208.816.705.260;
incumbent;0,01;3467;3538;2.047.880.011.537.290;
incumbent;0,018;3471;3538;19.302.794.583.692.900;
incumbent;0,018;3500;3538;10.857.142.857.142.500;
incumbent;0,018;3505;3538;0,941512126;
incumbent;0,018;3506;3538;0,91272105;
incumbent;0,019;3507;3538;0,883946393;
incumbent;0,019;3510;3538;0,797720798;
incumbent;0,019;3517;3538;0,597099801;
incumbent;0,019;3520;3538;0,511363636;
root_lp;0,02;3520;3537;;
root_lp;0,024;3520;3528;;
root_lp;0,024;3520;3528;;
incumbent;0,028;3517;3528;0,312766562;
incumbent;0,029;3520;3528;0,227272727;
root_lp;0,037;3520;3528;;
root_lp;0,04;3520;3528;;
root_lp;0,045;3520;3528;;
root_lp;0,046;3520;3528;;
root_lp;0,057;3520;3528;;
incumbent;0,17;3519;3527;0,227337312;
progress;3.029;3520;3526;0,170454545;147681
progress;6.043;3520;3525;0,142045455;363651
progress;9.066;3520;3525;0,142045455;558285
progress;12.074;3520;3525;0,142045455;744976
progress;15.074;3520;3525;0,142045455;909485
progress;18.117;3520;3525;0,142045455;1098666
progress;21.117;3520;3525;0,142045455;1277629
progress;24.117;3520;3525;0,142045455;1468169
progress;27.169;3520;3525;0,142045455;1682520
progress;30.169;3520;3525;0,142045455;1868179
progress;33.207;3520;3524;0,113636364;2071085
progress;36.207;3520;3524;0,113636364;2250332
progress;39.208;3520;3524;0,113636364;2460336
progress;42.255;3520;3524;0,113636364;2648977
progress;45.255;3520;3524;0,113636364;2820157
progress;48.305;3520;3524;0,113636364;2977370
progress;51.322;3520;3524;0,113636364;3132057
progress;54.322;3520;3524;0,113636364;3319092
progress;57.341;3520;3524;0,113636364;3496264
progress;60.341;3520;3524;0,113636364;3692376
progress;63.341;3520;3524;0,113636364;3869163
progress;66.341;3520;3524;0,113636364;4046800
progress;69.361;3520;3524;0,113636364;4240807
progress;72.372;3520;3524;0,113636364;4424731
progress;75.375;3520;3524;0,113636364;4614806
progress;78.391;3520;3524;0,113636364;4790078
progress;81.391;3520;3524;0,113636364;4932355
progress;84.409;3520;3524;0,113636364;5086121
progress;87.439;3520;3524;0,113636364;5257596
progress;90.439;3520;3524;0,113636364;5446114
progress;93.455;3520;3524;0,113636364;5654601
progress;96.492;3520;3524;0,113636364;5834083
progress;99.524;3520;3524;0,113636364;6019290
progress;102.524;3520;3524;0,113636364;6204064
progress;105.524;3520;3524;0,113636364;6373060
progress;108.553;3520;3523;0,085227273;6551978
progress;111.617;3520;3523;0,085227273;6719558
progress;114.677;3520;3523;0,085227273;6871429
progress;117.677;3520;3523;0,085227273;7021276
progress;120.736;3520;3523;0,085227273;7180297
progress;123.736;3520;3523;0,085227273;7332308
progress;126.773;3520;3523;0,085227273;7487063
progress;129.773;3520;3523;0,085227273;7658761
progress;132.773;3520;3523;0,085227273;7821281
progress;135.773;3520;3523;0,085227273;7996517
progress;138.773;3520;3523;0,085227273;8141819
progress;141.8;3520;3523;0,085227273;8311011
progress;144.8;3520;3523;0,085227273;8464484
progress;147.847;3520;3523;0,085227273;8630164
progress;150.847;3520;3523;0,085227273;8808042
progress;153.847;3520;3523;0,085227273;8960515
progress;156.903;3520;3523;0,085227273;9078028
progress;159.903;3520;3523;0,085227273;9224755
progress;162.903;3520;3523;0,085227273;9385526
progress;165.917;3520;3523;0,085227273;9525988
progress;168.917;3520;3523;0,085227273;9661200
progress;171.918;3520;3523;0,085227273;9791076
progress;174.963;3520;3523;0,085227273;9908054
progress;178.024;3520;3523;0,085227273;10036477
progress;181.071;3520;3523;0,085227273;10170437
progress;184.117;3520;3523;0,085227273;10306995
progress;187.151;3520;3523;0,085227273;10417618
progress;190.151;3520;3523;0,085227273;10547602
progress;193.151;3520;3523;0,085227273;10681691
progress;196.216;3520;3523;0,085227273;10828209
progress;199.216;3520;3523;0,085227273;10975231
progress;202.216;3520;3523;0,085227273;11124838
progress;205.22;3520;3523;0,085227273;11278992
progress;208.27;3520;3523;0,085227273;11417440
progress;211.27;3520;3523;0,085227273;11567209
progress;214.335;3520;3523;0,085227273;11690565
progress;217.335;3520;3523;0,085227273;11823886
progress;220.383;3520;3523;0,085227273;11961189
progress;223.383;3520;3523;0,085227273;12102560
progress;226.419;3520;3523;0,085227273;12245310
progress;229.419;3520;3523;0,085227273;12389116
progress;232.47;3520;3523;0,085227273;12523395
progress;235.526;3520;3523;0,085227273;12655586
progress;238.526;3520;3523;0,085227273;12773529
progress;241.545;3520;3523;0,085227273;12887233
progress;244.555;3520;3523;0,085227273;13004959
progress;247.569;3520;3523;0,085227273;13127248
progress;250.612;3520;3523;0,085227273;13240629
progress;253.621;3520;3523;0,085227273;13364352
progress;256.621;3520;3523;0,085227273;13487963
progress;259.621;3520;3523;0,085227273;13604239
progress;262.636;3520;3523;0,085227273;13703567
progress;265.701;3520;3523;0,085227273;13811413
progress;268.759;3520;3523;0,085227273;13938883
progress;271.798;3520;3523;0,085227273;14062700
progress;274.883;3520;3523;0,085227273;14184928
progress;277.883;3520;3523;0,085227273;14299150
progress;280.93;3520;3523;0,085227273;14417543
progress;283.93;3520;3523;0,085227273;14549952
progress;286.955;3520;3523;0,085227273;14664848
progress;289.955;3520;3523;0,085227273;14782624
progress;292.955;3520;3523;0,085227273;14905837
progress;295.988;3520;3523;0,085227273;15032831
progress;299.027;3520;3523;0,085227273;15158332
progress;302.027;3520;3523;0,085227273;15275237
progress;305.043;3520;3523;0,085227273;15402513
progress;308.043;3520;3523;0,085227273;15542509
progress;311.054;3520;3523;0,085227273;15673361
progress;314.056;3520;3523;0,085227273;15800344
progress;317.12;3520;3523;0,085227273;15901097
progress;320.12;3520;3523;0,085227273;15993968
progress;323.141;3520;3523;0,085227273;16055512
progress;326.145;3520;3523;0,085227273;16153663
progress;329.33;3520;3523;0,085227273;16222730
progress;332.471;3520;3523;0,085227273;16291338
progress;335.532;3520;3522;0,056818182;16358809
progress;338.574;3520;3522;0,056818182;16463598
progress;341.626;3520;3522;0,056818182;16560349
progress;344.626;3520;3522;0,056818182;16649050
progress;347.626;3520;3522;0,056818182;16722840
progress;350.626;3520;3522;0,056818182;16786549
progress;353.66;3520;3522;0,056818182;16838083
progress;356.66;3520;3522;0,056818182;16920647
progress;359.717;3520;3522;0,056818182;17009356
progress;362.795;3520;3522;0,056818182;17109218
progress;365.795;3520;3522;0,056818182;17227375
progress;368.795;3520;3522;0,056818182;17321218
progress;371.795;3520;3522;0,056818182;17410126
progress;374.808;3520;3522;0,056818182;17492865
progress;377.808;3520;3522;0,056818182;17572742
progress;380.817;3520;3522;0,056818182;17655564
progress;383.817;3520;3522;0,056818182;17754278
progress;386.876;3520;3522;0,056818182;17847197
progress;389.876;3520;3522;0,056818182;17925308
progress;392.876;3520;3522;0,056818182;18023372
progress;395.886;3520;3522;0,056818182;18146630
progress;398.898;3520;3522;0,056818182;18285915
progress;401.898;3520;3522;0,056818182;18419772
progress;404.959;3520;3522;0,056818182;18545879
progress;407.979;3520;3522;0,056818182;18673374
progress;410.979;3520;3522;0,056818182;18801242
progress;413.979;3520;3522;0,056818182;18941193
progress;417.0;3520;3522;0,056818182;19070504
progress;420.041;3520;3522;0,056818182;19200849
progress;423.088;3520;3522;0,056818182;19331836
progress;426.088;3520;3522;0,056818182;19445690
progress;429.182;3520;3522;0,056818182;19556101
progress;432.182;3520;3522;0,056818182;19663275
progress;435.182;3520;3522;0,056818182;19749651
progress;438.186;3520;3522;0,056818182;19836101
progress;441.186;3520;3522;0,056818182;19913803
progress;444.186;3520;3522;0,056818182;19998177
progress;447.186;3520;3522;0,056818182;20086911
progress;450.186;3520;3522;0,056818182;20166932
progress;453.221;3520;3522;0,056818182;20269651
progress;456.289;3520;3522;0,056818182;20382048
progress;459.368;3520;3522;0,056818182;20486378
progress;462.368;3520;3522;0,056818182;20587088
progress;465.368;3520;3522;0,056818182;20684768
progress;468.403;3520;3522;0,056818182;20799998
progress;471.486;3520;3522;0,056818182;20895822
progress;474.514;3520;3522;0,056818182;20985625
progress;477.633;3520;3522;0,056818182;21073867
progress;480.703;3520;3522;0,056818182;21154087
progress;483.703;3520;3522;0,056818182;21252885
progress;486.703;3520;3522;0,056818182;21332513
progress;489.703;3520;3522;0,056818182;21424870
progress;492.723;3520;3522;0,056818182;21522159
progress;495.723;3520;3522;0,056818182;21619445
progress;498.723;3520;3522;0,056818182;21716739
progress;501.723;3520;3522;0,056818182;21808700
progress;504.723;3520;3522;0,056818182;21903801
progress;507.723;3520;3522;0,056818182;21983513
progress;510.823;3520;3522;0,056818182;22061044
progress;513.823;3520;3522;0,056818182;22145262
progress;516.824;3520;3522;0,056818182;22242622
progress;519.89;3520;3522;0,056818182;22344405
progress;522.943;3520;3522;0,056818182;22440768
progress;525.943;3520;3522;0,056818182;22543160
progress;528.987;3520;3522;0,056818182;22643579
progress;531.987;3520;3522;0,056818182;22745536
progress;535.032;3520;3522;0,056818182;22860964
progress;538.038;3520;3522;0,056818182;22976248
progress;541.053;3520;3522;0,056818182;23083624
progress;544.053;3520;3522;0,056818182;23200797
progress;547.088;3520;3522;0,056818182;23316591
progress;550.125;3520;3522;0,056818182;23442200
progress;553.174;3520;3522;0,056818182;23568193
progress;556.174;3520;3522;0,056818182;23696985
progress;559.174;3520;3522;0,056818182;23826924
progress;562.174;3520;3522;0,056818182;23937426
progress;565.227;3520;3522;0,056818182;24067027
progress;568.227;3520;3522;0,056818182;24177915
progress;571.27;3520;3522;0,056818182;24306182
progress;574.282;3520;3522;0,056818182;24425873
progress;577.282;3520;3522;0,056818182;24544211
progress;580.311;3520;3522;0,056818182;24676402
progress;583.311;3520;3522;0,056818182;24802925
progress;586.378;3520;3522;0,056818182;24922692
progress;589.487;3520;3522;0,056818182;25030872
progress;592.487;3520;3522;0,056818182;25138033
progress;595.487;3520;3522;0,056818182;25248912
progress;598.487;3520;3522;0,056818182;25356919
progress;601.493;3520;3522;0,056818182;25456853
progress;604.519;3520;3522;0,056818182;25558975
progress;607.573;3520;3521;0,028409091;25660468
progress;610.683;3520;3521;0,028409091;25758617
progress;613.683;3520;3521;0,028409091;25868836
progress;616.683;3520;3521;0,028409091;25971190
progress;619.784;3520;3521;0,028409091;26080542
progress;622.784;3520;3521;0,028409091;26194685
progress;625.784;3520;3521;0,028409091;26323889
